,file_,defect_status
0,puppetlabs-openstack/manifests/db/mysql.pp,0
1,puppet-manifests/modules/fuel_project/manifests/zuul.pp,1
2,fuel-plugin-standalone-ceph/deployment_scripts/ceph_client.pp,1
3,fuel-plugin-external-ceph/deployment_scripts/volumes-and-ephemeral-compute.pp,1
4,puppet-manifests/modules/zabbix/manifests/server.pp,0
5,fuel-plugin-external-ceph/deployment_scripts/conf.pp,0
6,puppetlabs-openstack/manifests/nova/controller.pp,1
7,puppet-manifests/modules/puppet/manifests/agent.pp,1
8,puppetlabs-cinder/manifests/volume/iscsi.pp,1
9,puppet-manifests/modules/zuul/manifests/init.pp,1
10,puppet-manifests/modules/tpi/manifests/nfs_client.pp,0
11,fuel-plugin-external-ceph/deployment_scripts/images.pp,0
12,fuel-plugin-etckeeper/deployment_scripts/etckeeper_configure.pp,0
13,puppetlabs-horizon/manifests/init.pp,1
14,puppet-ssh/manifests/server/config.pp,1
15,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/agent.pp,0
16,puppet-ssh/manifests/hostkeys.pp,0
17,puppet-manifests/modules/fuel_project/manifests/gerrit.pp,1
18,puppet-kafka/manifests/defaults.pp,1
19,fuel-plugin-standalone-ceph/deployment_scripts/openstack-haproxy-radosgw.pp,1
20,pmlc_neutron/manifests/server/config.pp,1
21,fuel-plugin-celebrer/deployment_scripts/puppet/manifests/server.pp,0
22,fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/engine.pp,0
23,puppet-ssh/manifests/client/config.pp,1
24,puppet-manifests/modules/fuel_project/manifests/glusterfs.pp,1
25,puppet-manifests/modules/fuel_project/manifests/nginx.pp,1
26,puppet-manifests/modules/lpreports/manifests/webapp.pp,1
27,puppet-manifests/modules/fuel_project/manifests/gerrit/replication.pp,1
28,puppet-manifests/modules/ssh/manifests/known_host.pp,0
29,puppetlabs-cinder/manifests/keystone/auth.pp,0
30,roles/manifests/openstack/pmlc_compute.pp,0
31,puppet-haproxy/manifests/init.pp,1
32,fuel-plugin-standalone-ceph/deployment_scripts/hosts.pp,0
33,puppet-module-keepalived/manifests/install.pp,0
34,puppet-kafka/manifests/client.pp,0
35,puppet-manifests/modules/fuel_project/manifests/apps/plugins.pp,0
36,puppet-manifests/modules/fuel_project/manifests/apps/static.pp,1
37,puppet-manifests/modules/ssh/manifests/sshd.pp,1
38,puppet-manifests/modules/fuel_project/manifests/roles/perestroika/builder.pp,0
39,puppet-manifests/modules/landing_page/manifests/init.pp,1
40,profiles/manifests/common/sudo.pp,0
41,puppet-manifests/modules/fuel_project/manifests/jenkins/master.pp,1
42,puppet-ssh/manifests/client.pp,0
43,puppet-manifests/modules/fuel_project/manifests/tpi/lab.pp,1
44,puppet-manifests/modules/system/manifests/init.pp,1
45,puppet-foreman_proxy/manifests/plugin/chef/params.pp,0
46,roles/manifests/ftp/server.pp,0
47,pmlc_nova/manifests/compute/service.pp,0
48,puppet-manifests/modules/django/manifests/application.pp,0
49,puppet-manifests/modules/racks/manifests/importer.pp,1
50,puppet-manifests/modules/fuel_project/manifests/apps/partnerappliance.pp,1
51,puppet-manifests/modules/fuel_project/manifests/apps/monitoring/mysql/server.pp,1
52,profiles/manifests/ssh/server.pp,0
53,fuel-plugin-external-ceph/deployment_scripts/radosgw-keystone.pp,0
54,roles/manifests/deploy.pp,0
55,puppet-manifests/modules/fuel_project/manifests/apps/firewall.pp,1
56,puppet-manifests/modules/fuel_project/manifests/roles/ns.pp,1
57,puppet-manifests/modules/fuel_project/manifests/apps/mirror_npm.pp,1
58,fuel-plugin-standalone-ceph/deployment_scripts/ssl_keys_saving.pp,0
59,puppetlabs-openstack/manifests/swift/storage-node.pp,0
